,In Million,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Price to Book Value (Annual),0.00,0.00,0.00,0.00,0.86
1,Book Value Per Share (Annual),12873502.50,10116067.62,11732578.19,122.68,105.48
2,Price to Tang. Book Value (Annual),0.00,0.00,0.00,0.00,3.38
3,Tang. Book Value Per Share (Annual),9859356.99,7306712.19,9760226.32,29.63,26.89
4,Short-term Debt (Annual),-,"1,006 B",738 B,"1,452 B",435 B
5,Long-term Debt (Annual),436 B,498 B,"2,675 B",22 B,"1,102 B"
6,Total Debt (Annual),436 B,"1,504 B","3,412 B","1,474 B","1,537 B"
7,Net Debt (Annual),"(5,370 B)","(4,601 B)","(11,907 B)","(29,677 B)","(27,472 B)"
8,Working capital (Annual),"4,388 B","4,204 B","13,762 B","23,770 B","22,018 B"
